height,FG3_attempted_by_minutes,blocks_by_minutes,position,height2,height3,FG3_attempted_by_minutes_1,FG3_attempted_by_minutes_2,FG3_attempted_by_minutes_3,blocks_by_minutes_1,blocks_by_minutes_2,blocks_by_minutes_3,position2
203,"0,09782608696","0,003623188406",Small Forward,"0,5714285714",0.57142857,0.09782609,"0,3178307123",0.31783071,0.00362319,"0,03592021192",0.03592021,2
196,"0,1362847222","0,009548611111",Shooting Guard,"0,4285714286",0.42857143,0.13628472,"0,4427803634",0.44278036,0.00954861,"0,09466472517",0.09466473,1
208,"0,009039548023","0,02146892655",Center,"0,6734693878",0.67346939,0.00903955,"0,02936891453",0.02936891,0.02146893,"0,212842476",0.21284248,4
211,"0,01061571125","0,007430997877",Power Forward,"0,7346938776",0.73469388,0.01061571,"0,03448976825",0.03448977,0.00743100,"0,07367075312",0.07367075,3
198,"0,1078858249","0,00290275762",Point Guard,"0,4693877551",0.46938776,0.10788582,"0,3505141588",0.35051416,0.00290276,"0,02877787661",0.02877788,0
202,"0,106029106","0,004851004851",Small Forward,"0,5510204082",0.55102041,0.10602911,"0,3444817976",0.34448180,0.00485100,"0,04809275775",0.04809276,2
198,"0,1338842975","0,001652892562",Small Forward,"0,4693877551",0.46938776,0.13388430,"0,4349815367",0.43498154,0.00165289,"0,01638674131",0.01638674,2
209,"0,01375","0,025",Center,"0,693877551",0.69387755,0.01375000,"0,04467287234",0.04467287,0.02500000,"0,2478494623",0.24784946,4
191,"0,1933054393","0,002510460251",Point Guard,"0,3265306122",0.32653061,0.19330544,"0,6280370336",0.62803703,0.00251046,"0,02488864893",0.02488865,0
208,"0,1698301698","0,01798201798",Power Forward,"0,6734693878",0.67346939,0.16983017,"0,5517673814",0.55176738,0.01798202,"0,1782733395",0.17827334,3
198,"0,2538513061","0,01004688547",Shooting Guard,"0,4693877551",0.46938776,0.25385131,"0,8247466902",0.82474669,0.01004689,"0,09960460645",0.09960461,1
198,"0,2082695253","0,01378254211",Shooting Guard,"0,4693877551",0.46938776,0.20826953,"0,6766543939",0.67665439,0.01378254,"0,136639826",0.13663983,1
193,"0,2236842105","0,01012145749",Shooting Guard,"0,3673469388",0.36734694,0.22368421,"0,7267357222",0.72673572,0.01012146,"0,1003439118",0.10034391,1
203,"0,1183836084","0,03414911781",Small Forward,"0,5714285714",0.57142857,0.11838361,"0,3846207873",0.38462079,0.03414912,"0,3385536194",0.33855362,2
195,"0,1082251082","0,0007215007215",Shooting Guard,"0,4081632653",0.40816327,0.10822511,"0,3516164685",0.35161647,0.00072150,"0,007152942634",0.00715294,1
201,"0,176980198","0,007425742574",Power Forward,"0,5306122449",0.53061224,0.17698020,"0,5749973667",0.57499737,0.00742574,"0,07361865216",0.07361865,3
185,"0,23934181","0,002243829469",Point Guard,"0,2040816327",0.20408163,0.23934181,"0,7776062635",0.77760626,0.00224383,"0,02224527709",0.02224528,0
211,"0,003813155386","0,02287893232",Power Forward,"0,7346938776",0.73469388,0.00381316,"0,01238869846",0.01238870,0.02287893,"0,2268212429",0.22682124,3
221,"0,001129305477","0,09090909091",Center,"0,9387755102",0.93877551,0.00112931,"0,003669041411",0.00366904,0.09090909,"0,9012707719",0.90127077,4
180,"0,1682080925","0,001156069364",Point Guard,"0,1020408163",0.10204082,0.16820809,"0,5464973558",0.54649736,0.00115607,"0,01146124681",0.01146125,0
195,"0,1358439812","0,001344989913",Point Guard,"0,4081632653",0.40816327,0.13584398,"0,441348424",0.44134842,0.00134499,"0,01333420107",0.01333420,0
197,"0,1259541985","0,01374045802",Small forward,"0,4489795918",0.44897959,0.12595420,"0,4092171513",0.40921715,0.01374046,"0,1362226053",0.13622261,2
188,"0,2887218045","0,001503759398",Point Guard,"0,2653061224",0.26530612,0.28872180,"0,9380387137",0.93803871,0.00150376,"0,01490823833",0.01490824,0
206,"0,08635703919","0,008708272859",Power Forward,"0,6326530612",0.63265306,0.08635704,"0,2805685082",0.28056851,0.00870827,"0,08633362981",0.08633363,3
201,0,"0,02585034014",Power Forward,"0,5306122449",0.53061224,0.00000000,0,0.00000000,0.02585034,"0,2562797161",0.25627972,3
188,"0,1771561772","0,02097902098",Shooting Guard,"0,2653061224",0.26530612,0.17715618,"0,5755691119",0.57556911,0.02097902,"0,2079855627",0.20798556,1
193,"0,1355311355","0,002442002442",Shooting Guard,"0,3673469388",0.36734694,0.13553114,"0,4403320083",0.44033201,0.00244200,"0,02420995968",0.02420996,1
203,"0,117791411","0,06871165644",Power Forward,"0,5714285714",0.57142857,0.11779141,"0,3826967757",0.38269678,0.06871166,"0,681205884",0.68120588,3
205,"0,0731511254","0,002411575563",Power Forward,"0,612244898",0.61224490,0.07315113,"0,2376633372",0.23766334,0.00241158,"0,02390830826",0.02390831,3
190,"0,1339712919","0,001367053999",Point Guard,"0,306122449",0.30612245,0.13397129,"0,435264176",0.43526418,0.00136705,"0,01355294394",0.01355294,0
